"","ID","survey","subam","subam_type","isolation","treatments","Anax","Berosus","Bidessonotus","Buenoa","Caenis","Callibaetis","Ceratopogonidae","Chaoborus","Chironominae","Copelatus","Culex","Curicta","Derovatellus","Elachistocleis.sp.","Erythrodiplax","Heterelmis","Hydrocanthus","Hypodessus","Laccophilus","Limnocoris","Liodessus","Microvelia","Notonecta","Orthemis","Oxyagrion","Pantala","Pelocoris","Physalaemos.nattereri","Progomphus","Rhantus","Scinax.sp.","Sigara","Tanypodinae","Thermonectus","Tholymis","Tropisternus"
"C051","C05","2","2","center","480","pasture",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"C061","C06","2","2","center","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,34,0,0,0,0,0
"C071","C07","2","2","center","480","control",0,1,0,0,0,0,0,0,19,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58,0,0,0,0,0,0,0,0
"C081","C08","2","2","center","480","pasture",0,5,0,0,0,1,0,0,28,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0
"C091","C09","2","2","center","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
"C101","C10","2","2","center","480","control",0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"C111","C11","2","2","center","480","pasture",0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,1,0,0,0
"C121","C12","2","2","center","480","sugar_cane",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C131","C13","2","2","center","480","control",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0
"C141","C14","2","2","center","480","pasture",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,4,0,0,0,0,0,0,0,0
"C151","C15","2","2","center","480","sugar_cane",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A012","A01","2","3","center","30","control",0,0,0,0,0,1,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0
"A022","A02","2","3","center","30","pasture",0,6,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,3,0,0,0,0,0
"A032","A03","2","3","center","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"A042","A04","2","3","center","30","control",0,4,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"A052","A05","2","3","center","30","pasture",0,5,0,0,0,2,0,0,8,0,19,0,0,0,10,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,6,0,0,0
"A062","A06","2","3","center","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A072","A07","2","3","center","30","control",0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,3,0,0,0,1,0
"A082","A08","2","3","center","30","pasture",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"A092","A09","2","3","center","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A102","A10","2","3","center","30","control",0,3,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"A112","A11","2","3","center","30","pasture",0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0
"A122","A12","2","3","center","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A132","A13","2","3","center","30","control",0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"A142","A14","2","3","center","30","pasture",0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"A152","A15","2","3","center","30","sugar_cane",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B012","B01","2","3","center","120","control",0,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
"B022","B02","2","3","center","120","pasture",0,5,0,0,0,2,0,0,35,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0
"B032","B03","2","3","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0
"B042","B04","2","3","center","120","control",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0
"B052","B05","2","3","center","120","pasture",0,1,0,0,1,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,23,0,0,0,0,0
"B062","B06","2","3","center","120","sugar_cane",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0
"B072","B07","2","3","center","120","control",0,2,0,0,0,1,0,0,2,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,6,0,0,0,0,0,0,0,0
"B082","B08","2","3","center","120","pasture",0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0
"B092","B09","2","3","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B102","B10","2","3","center","120","control",0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"B112","B11","2","3","center","120","pasture",0,1,0,0,0,0,0,1,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"B122","B12","2","3","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"B132","B13","2","3","center","120","control",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"B142","B14","2","3","center","120","pasture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"B152","B15","2","3","center","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C012","C01","2","3","center","480","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,0,0
"C022","C02","2","3","center","480","pasture",0,1,0,0,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,1,16,0,0,0,0,0
"C032","C03","2","3","center","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
"C042","C04","2","3","center","480","control",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,13,0,0,0,0,0
"C052","C05","2","3","center","480","pasture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,0,0,0,0,0
"C062","C06","2","3","center","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,20,0,0,0,0,0
"C072","C07","2","3","center","480","control",0,4,0,0,0,0,0,0,5,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,39,0,4,2,0,4,0,0,0
"C082","C08","2","3","center","480","pasture",0,2,0,0,0,0,2,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0
"C092","C09","2","3","center","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
"C102","C10","2","3","center","480","control",0,1,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0
"C112","C11","2","3","center","480","pasture",0,1,0,0,0,1,0,0,5,0,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,2,0,0,0
"C122","C12","2","3","center","480","sugar_cane",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C132","C13","2","3","center","480","control",0,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,0,0
"C142","C14","2","3","center","480","pasture",0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0
"C152","C15","2","3","center","480","sugar_cane",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A013","A01","2","4","margin","30","control",0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0
"A023","A02","2","4","margin","30","pasture",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"A033","A03","2","4","margin","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A043","A04","2","4","margin","30","control",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A053","A05","2","4","margin","30","pasture",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"A063","A06","2","4","margin","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A073","A07","2","4","margin","30","control",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"A083","A08","2","4","margin","30","pasture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A093","A09","2","4","margin","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A103","A10","2","4","margin","30","control",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A113","A11","2","4","margin","30","pasture",0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,1,0,1,0
"A123","A12","2","4","margin","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A133","A13","2","4","margin","30","control",0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"A143","A14","2","4","margin","30","pasture",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,59,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"A153","A15","2","4","margin","30","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B013","B01","2","4","margin","120","control",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B023","B02","2","4","margin","120","pasture",0,0,0,0,0,0,0,0,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B033","B03","2","4","margin","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
"B043","B04","2","4","margin","120","control",0,0,0,0,0,0,1,0,0,0,16,0,0,0,2,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"B053","B05","2","4","margin","120","pasture",0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"B063","B06","2","4","margin","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
"B073","B07","2","4","margin","120","control",0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"B083","B08","2","4","margin","120","pasture",0,0,0,0,0,0,0,0,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"B093","B09","2","4","margin","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B103","B10","2","4","margin","120","control",0,2,0,0,0,0,0,0,5,0,16,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"B113","B11","2","4","margin","120","pasture",0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"B123","B12","2","4","margin","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B133","B13","2","4","margin","120","control",0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"B143","B14","2","4","margin","120","pasture",0,0,0,0,0,0,0,0,4,1,47,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
"B153","B15","2","4","margin","120","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C013","C01","2","4","margin","480","control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"C023","C02","2","4","margin","480","pasture",0,0,0,0,0,0,0,0,16,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,2,0,0,0,0
"C033","C03","2","4","margin","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"C043","C04","2","4","margin","480","control",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,2,1,1,0,0,0
"C053","C05","2","4","margin","480","pasture",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"C063","C06","2","4","margin","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"C073","C07","2","4","margin","480","control",0,0,0,0,0,0,0,0,2,0,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,2,0,0,0,0,0
"C083","C08","2","4","margin","480","pasture",0,0,0,0,0,0,1,0,7,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"C093","C09","2","4","margin","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C103","C10","2","4","margin","480","control",0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"C113","C11","2","4","margin","480","pasture",0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"C123","C12","2","4","margin","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"C133","C13","2","4","margin","480","control",0,0,0,0,0,0,0,0,1,2,49,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
"C143","C14","2","4","margin","480","pasture",0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,0,0,0
"C153","C15","2","4","margin","480","sugar_cane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A015","A01","3","1","center","30","control",0,1,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,4,0,0,0
"A025","A02","3","1","center","30","pasture",0,9,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,13,0,4,0,0,0
"A035","A03","3","1","center","30","sugar_cane",0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,15,0,3,0,0,0
"A045","A04","3","1","center","30","control",0,0,0,2,0,0,2,0,45,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,3,0,7,0,0,1
"A055","A05","3","1","center","30","pasture",0,0,0,0,0,0,1,0,75,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,8,0,0,0
"A065","A06","3","1","center","30","sugar_cane",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,12,0,0,4,0,1,0,0,0
"A075","A07","3","1","center","30","control",0,2,0,2,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,6,0,0,0
"A085","A08","3","1","center","30","pasture",0,1,0,0,1,0,0,1,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,6,0,0,0
"A095","A09","3","1","center","30","sugar_cane",0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,16,0,0,2,0,10,0,0,0
"A105","A10","3","1","center","30","control",0,1,0,1,0,1,0,0,47,0,1,0,0,0,11,0,0,0,0,0,0,2,0,0,0,22,0,7,0,0,16,0,5,0,0,0
"A115","A11","3","1","center","30","pasture",0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,1,0,0,0
"A125","A12","3","1","center","30","sugar_cane",0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0
"A135","A13","3","1","center","30","control",0,3,0,2,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,3,0,0,0,0,0
"A145","A14","3","1","center","30","pasture",0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,2,0,1,0,0,0
"A155","A15","3","1","center","30","sugar_cane",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,87,0,0,0,0,0
"B015","B01","3","1","center","120","control",0,1,0,2,2,0,0,4,45,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,4,0,1,0,0,0
"B025","B02","3","1","center","120","pasture",0,0,0,4,0,0,0,0,49,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,6,0,5,0,0,0
"B035","B03","3","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,10,0,0,25,0,0,0,0,0
"B045","B04","3","1","center","120","control",0,2,0,2,1,2,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,0,0,0
"B055","B05","3","1","center","120","pasture",0,6,0,0,3,3,0,1,22,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,2,0,0,0
"B065","B06","3","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,68,0,0,44,0,0,0,0,0
"B075","B07","3","1","center","120","control",0,2,0,1,0,0,0,0,75,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,2,0,4,0,0,0
"B085","B08","3","1","center","120","pasture",0,2,0,0,2,0,0,0,53,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,4,0,8,0,0,10,0,5,0,0,0
"B095","B09","3","1","center","120","sugar_cane",0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,3,0,0,0,0,2,0,0,0
"B105","B10","3","1","center","120","control",0,4,0,0,1,1,0,4,22,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"B115","B11","3","1","center","120","pasture",0,0,0,1,1,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,5,0,0,0
"B125","B12","3","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,4,0,0,0
"B135","B13","3","1","center","120","control",0,2,0,0,0,0,0,1,4,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,1,0,2,0,0,0
"B145","B14","3","1","center","120","pasture",0,0,0,0,0,1,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,1,0,1,0,0,0
"B155","B15","3","1","center","120","sugar_cane",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0
"C015","C01","3","1","center","480","control",0,0,0,3,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,62,0,1,0,0,0
"C025","C02","3","1","center","480","pasture",0,2,0,0,0,1,0,2,221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,8,0,0,0,0,0
"C035","C03","3","1","center","480","sugar_cane",0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,2,0,2,0,0,0
"C045","C04","3","1","center","480","control",0,1,0,0,0,0,0,3,14,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,3,0,0,0
"C055","C05","3","1","center","480","pasture",0,0,0,0,1,0,0,35,20,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,3,0,0,0
"C065","C06","3","1","center","480","sugar_cane",0,0,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,0,0,21,0,3,0,0,0
"C075","C07","3","1","center","480","control",0,0,0,0,0,0,0,5,27,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,0,2,0,0,7,0,0,0,0,0
"C085","C08","3","1","center","480","pasture",0,1,0,0,0,1,1,19,72,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,7,0,3,0,0,14,0,8,0,0,0
"C095","C09","3","1","center","480","sugar_cane",0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,18,0,18,0,0,0
"C105","C10","3","1","center","480","control",0,1,0,0,7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,3,0,0,0
"C115","C11","3","1","center","480","pasture",0,2,0,0,3,0,0,0,58,0,5,0,0,0,3,0,0,0,0,0,0,5,0,2,0,13,0,6,0,0,6,0,4,0,0,0
"C125","C12","3","1","center","480","sugar_cane",0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,5,0,0,38,0,9,0,0,0
"C135","C13","3","1","center","480","control",0,0,0,0,0,0,0,0,64,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,7,0,0,0
"C145","C14","3","1","center","480","pasture",0,0,0,1,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,7,0,3,0,0,0
"C155","C15","3","1","center","480","sugar_cane",0,0,0,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,27,0,1,0,0,0
"A0111","A01","3","2","center","30","control",0,6,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,7,0,0,0
"A0211","A02","3","2","center","30","pasture",0,0,0,0,0,0,3,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,5,0,0,0
"A0311","A03","3","2","center","30","sugar_cane",0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0
